INS_NM,ORG_ID,GBLOC,,
"PPSO, FORT LEONARD WOOD, MO",372,GSAT,,
"AMER EMB, MEXICO CITY, MEXICO",224,OYDK,,
"AMER EMB, REP OF VALLETTA, MALTA",225,UIDK,,
"AMER EMB, BAMAKO, MALI",226,TDDK,,
"USDAO, KUALA LUMPUR, MALAYSIA",227,RDDK,,
"US SEC ASST OFC, LILONGWE, MALAWI",228,TKDK,,
"NSA MID-SOUTH, MILLINGTON, TN",229,FDNT,,
"CEKSF, OAKDALE PA.",230,DMAC,,
"NAVAL AIR STATION, LEMOORE, CA",231,LGNL,,
"RED RIVER ARMY DEPOT, TX",232,HBAQ,,
"FISC, SEAL BEACH DET, CA",233,LENQ,,
"TRANSSHIP POINT, SEATTLE, WA",234,JEAH,,
"NSU, SARATOGA SPRINGS, NY",235,DBNK,,
NAVSUP FLC NORFOLK-CPPSO,237,BGNC,,
"AMER EMB, BELGRADE, SERBIA",239,UKDK,,
"USDAO, PRAGUE, CZECH REPUBLIC",240,VMDK,,
"NAES, LAKEHURST, NJ",241,AONL,,
"CG BASE KODIAK, AK",242,MAPS,,
JPPSO SOUTH CENTRAL ,243,HAFC,,
JPPSO SOUTHWEST,244,LKNQ,,
ARMY PERSONAL PROPERTY - MINNESOTA,245,GBAC,,
ARMY SUSTAINMENT COMMAND-DTA MI,246,EBAK,,
"NSA PHILADELPHIA, PA",248,DMNC,,
"NAS PENSACOLA, FL",249,CONT,,
"NAS, PATUXENT RIVER, MD",252,BCNV,,
"30 LRS, VANDENBERG AFB CA",255,LGFL,,
"USMA, WEST POINT, NY",256,DCAT,,
"NAS, MERIDIAN, MS",257,FNNT,,
"USCG PPSO MIAMI, FL",258,CLPK,,
JPPSO NORTHWEST,259,JEAT,,
"MCALESTER ARMY AMMO PLANT, OK",260,HOAM,,
"TRANSSHIP POINT, MCCHORD AFB, WA",261,JIFL,,
USMC MCAS YUMA AZ,262,KDML,,
"CG BASE KETCHIKAN, AK",263,MAPK,,
"NAVAL STATION, NEWPORT, RI",264,ALNT,,
"NAS, JRB, NEW ORLEANS, LA",265,FRNQ,,
"PPSO, FISCJ DET, NAS, KEY WEST, FL",266,CQNL,,
"ROCK ISLAND ARSENAL, IL",267,GLAM,,
"MAGTF TRNGCOM, TWENTYNINE PALMS, CA",268,LIMT,,
"60 APS, TRAVIS AFB, CA",269,LIFL,,
"BLUE GRASS ARMY DEPOT, KY",270,FAAQ,,
"NAVAIRWPNSTA, CHINA LAKE, CA",271,LENV,,
"TOBYHANNA ARMY DEPOT, PA",272,DOAQ,,
"TRANSSHIP POINT, CHARLESTON AFB, SC",274,CAFL,,
JPPSO NORTHEAST DETACHMENT 2,275,AGFM,,
MCAS CHERRY POINT,276,BKML,,
"TRANSSHIP POINT, NAS CONCORD, CA",277,LFAL,,
JPPSO NORTH CENTRAL,278,KKFA,,
"CPPSO, CARLISLE BARRACKS, PA",280,DMAT,,
832ND  CAPE CANAVERAL DETACHMENT,281,CLAH,,
"NAVAL AIR FACILITY, EL CENTRO, CA",282,LENL,,
01-MAY-11 REGIONALIZED UNDER LKNQ ,284,JANL,,
NAVSUP FLCN ANNAPOLIS 415.33,285,BANT,,
NAVSUP FLC PUGET SOUND,286,JENQ,,
"FORT BRAGG, NC",287,BKAS,,
JOINT PERS PROP SHIPPING OFFICE - NJ,288,APAT,,
"FORT LEAVENWORTH, KS",289,KPAT,,
"FORT STEWART, GA",290,CHAT,,
FORT BENNING // SITE NOW UNDER CNNQ ,293,CGAT,,
GUARDIAN M&S (PERMANENT STG FAC),294,AOAH,,
"JOINT BASE ELMENDORF-RICHARDSON, AK",295,MBFL,,
"NAVY SUPPLY CORPS SCHOOL, ATHENS, GA",296,CGNT,,
"FORT MCPHERSON/FORT GILLEM, GA",297,CFAK,,
FLEET LOGISTIC CENTER PEARL HARBOR,300,MLNQ,,
"CPPSO, CHARLESTON, SC",301,CANQ,,
"NTC, GREAT LAKES, IL",302,GLNT,,
SUPPLY MANAGEMENT DEPT MIDWEST,303,GONM,,
FISC NORFOLK-NEW LONDON,304,AMNS,,
CAMP LEJEUNE,305,BKMT,,
"USAG, FORT HAMILTON, BROOKLYN, NY",306,DBAQ,,
"NAV POSTGRADUATE SCH, MONTEREY, CA",307,LFNT,,
"DLIFLC & PRESIDIO MONTEREY, CA",308,LHAT,,
"AMER EMB, LUXEMBOURG",310,VQDK,,
"USDAO, AM EMB VILNIUS, LITHUANIA",311,VRDK,,
"USDAO, MONROVIA, LIBERIA",312,TCDK,,
"USDAO, BEIRUT, LEBANON",313,SRDK,,
"AMER EMB, VIENTIANE, LAOS",314,RBDK,,
"U.S. ARMY KWAJALEIN ATOLL, RM",315,PFAE,,
"AMER EMB, KUWAIT, KUWAIT",316,SLDK,,
"ASG-KUWAIT, CAMP ARIFJAN, KUWAIT",317,SLAL,,
"CBO HUMPHREYS, KOREA",318,QXAK,,
"8 LRS, KUNSAN AB KOREA",319,QMFL,,
"AMER EMB, NAIROBI, KENYA",320,TMDK,,
"AMER EMB, AMMAN, JORDAN",321,SQDK,,
"CAMP S.D. BUTLER, OKINAWA, JAPAN  ",323,QIMS,,
"NAVAL AIR FACILITY, ATSUGI, JAPAN",324,QENL,,
"COMMANDER, FLEET ACTIVITIES SASEBO",325,QENF,,
"MCAS, IWAKUNI, JAPAN",326,QEML,,
"ITO, LRC-OKINAWA",328,QKAS,,
"374 LRS, YOKOTA AB, JAPAN",329,QFFL,,
"18TH LRS, KADENA AB, JAPAN",330,QIFL,,
"GSO, KINGSTON, JAMAICA",331,OXDK,,
"NAS, SIGONELLA, SICILY, ITALY",332,UMNL,,
"FLCSI-NAPLES, ITALY",333,UCNQ,,
"31 FW, AVIANO AB, ITALY",334,UCFS,,
"MULTI FORCES, TEL AVIV, ISRAEL",335,SHDL,,
"AMER EMB, TEL AVIV, ISRAEL",336,SHDK,,
"AMER EMB, DUBLIN, IRELAND",337,YTDK,,
"AMER EMB, JAKARTA, INDONESIA",338,RCDK,,
"AMER EMB, NEW DELHI, INDIA",339,SBDK,,
"AMER EMB, BUDAPEST, HUNGARY",341,VODK,,
"AMER CONS GEN, HONG KONG",342,SJDK,,
"NSA, LA MADDALENA, ITALY",343,UCNC,,
"NAVSUP FLCJ GUANTANAMO BAY, CUBA",344,OKNQ,,
"AMER EMB, BRIDGETOWN, BARBADOS",345,OVDK,,
"RAF ST MAWGAN, ENGLAND",346,YBNM,,
FLCSI SOUDA BAY CRETE,347,UANA,,
"FORT IRWIN, CA",348,LKAT,,
"USA INTEL CTR & FORT HUACHUCA, AZ",349,KDAK,,
"USAG, FORT MONMOUTH, NJ",350,AOAC,,
"TRANSSHIP POINT, MCGUIRE AFB, NJ",351,AQFL,,
"JRTC & FORT POLK, LA",352,FSAT,,
"FORT BENNING, GA",354,CFAT,,
JPPSO SOUTH EAST,356,CNNQ,,
"375 AW, SCOTT AFB, IL",357,GKFL,,
"USA TRANS CMD AND FORT JACKSON, SC",358,CAAT,,
"FORT CAMPBELL, KY",359,FAAT,,
"LRC TRANS DIV, FORT KNOX, KY",360,FAAM,,
"LRC-REDSTONE ARSENAL, ALABAMA",361,FIAM,,
"FORT RUCKER, AL",362,FHAT,,
"USA FIELD ARTILLERY & FT SILL, OK",363,HOAT,,
"USAG, ABERDEEN PROVING GROUND, MD ",364,BAAV,,
FORT DETRICK MD,365,BBAV,,
JOINT PERS PROP SHIPPING OFFICE - MA,366,BGAC,,
"USA AIR DEF CTR & FORT BLISS, TX",367,HAAE,,
"NAS JRB, FORT WORTH, TX",368,HBNL,,
"CPPSO - HD, FORT HOOD, TX",369,HBAT,,
"FORT DRUM, NY",370,DBAT,,
FORT RILEY,371,KOAT,,
GUARDIAN MOVING AND STORAGE,15002,BOAH,,
"GUARDIAN MOVING AND STORAGE CO., INC",12754,LMAQ,,
MCB CAMP PENDLETON,11,LFMT,,
"FORT WAINWRIGHT, AK",13,MBAT,,
"OSAN AB, KOREA",15,QNFL,,
"MISAWA AB, JAPAN",16,QEFL,,
"CAMP ZAMA, JAPAN",17,QFAC,,
EURO THEATER CPPSO,19,WKAS,,
"420 LRS, RAF FAIRFORD, ENGLAND",20,YGFC,,
"WAKE ISLAND, DET 1, 15 AIRLIFT WING",21,PDFL,,
"337 ASUF, CANBERRA, AUSTRALIA",22,RAFK,,
"US MIL GP, GUATEMALA CITY, GUATEMALA",23,ONAK,,
"MANTA AB, ECUADOR",24,ZGFK,,
