Service Area Number,Origin Serivce Area,Service Schedule,Season,Weight Band ID,Lower Lbs,Upper Lbs,Lower Cwt,Upper Cwt,Mileage Range ID,Lower Miles,Upper Miles,Escalation Number,Rate
4,"Birmingham, AL",2,NonPeak,1,500,4999,5.00,49.99,1,0,250,0,2.477
4,"Birmingham, AL",2,NonPeak,1,500,4999,5.00,49.99,2,251,500,0,2.727
4,"Birmingham, AL",2,NonPeak,1,500,4999,5.00,49.99,3,501,1000,0,3.228
4,"Birmingham, AL",2,NonPeak,1,500,4999,5.00,49.99,4,1001,1500,0,3.728
4,"Birmingham, AL",2,NonPeak,1,500,4999,5.00,49.99,5,1501,2000,0,4.228
4,"Birmingham, AL",2,NonPeak,1,500,4999,5.00,49.99,6,2001,2500,0,4.728
4,"Birmingham, AL",2,NonPeak,1,500,4999,5.00,49.99,7,2501,3000,0,5.228
4,"Birmingham, AL",2,NonPeak,1,500,4999,5.00,49.99,8,3001,3500,0,5.728
4,"Birmingham, AL",2,NonPeak,1,500,4999,5.00,49.99,9,3501,4000,0,6.228
4,"Birmingham, AL",2,NonPeak,1,500,4999,5.00,49.99,10,4001,999999,0,27.132
4,"Birmingham, AL",2,NonPeak,2,5000,9999,50.00,99.99,1,0,250,0,4.705
4,"Birmingham, AL",2,NonPeak,2,5000,9999,50.00,99.99,2,251,500,0,4.955
4,"Birmingham, AL",2,NonPeak,2,5000,9999,50.00,99.99,3,501,1000,0,5.455
4,"Birmingham, AL",2,NonPeak,2,5000,9999,50.00,99.99,4,1001,1500,0,5.955
4,"Birmingham, AL",2,NonPeak,2,5000,9999,50.00,99.99,5,1501,2000,0,6.455
4,"Birmingham, AL",2,NonPeak,2,5000,9999,50.00,99.99,6,2001,2500,0,6.956
4,"Birmingham, AL",2,NonPeak,2,5000,9999,50.00,99.99,7,2501,3000,0,7.456
4,"Birmingham, AL",2,NonPeak,2,5000,9999,50.00,99.99,8,3001,3500,0,7.956
4,"Birmingham, AL",2,NonPeak,2,5000,9999,50.00,99.99,9,3501,4000,0,8.456
4,"Birmingham, AL",2,NonPeak,2,5000,9999,50.00,99.99,10,4001,999999,0,29.36
4,"Birmingham, AL",2,NonPeak,3,10000,999999,100.00,9999.99,1,0,250,0,11.389
4,"Birmingham, AL",2,NonPeak,3,10000,999999,100.00,9999.99,2,251,500,0,11.639
4,"Birmingham, AL",2,NonPeak,3,10000,999999,100.00,9999.99,3,501,1000,0,12.139
4,"Birmingham, AL",2,NonPeak,3,10000,999999,100.00,9999.99,4,1001,1500,0,12.639
4,"Birmingham, AL",2,NonPeak,3,10000,999999,100.00,9999.99,5,1501,2000,0,13.139
4,"Birmingham, AL",2,NonPeak,3,10000,999999,100.00,9999.99,6,2001,2500,0,13.639
4,"Birmingham, AL",2,NonPeak,3,10000,999999,100.00,9999.99,7,2501,3000,0,14.139
4,"Birmingham, AL",2,NonPeak,3,10000,999999,100.00,9999.99,8,3001,3500,0,14.64
4,"Birmingham, AL",2,NonPeak,3,10000,999999,100.00,9999.99,9,3501,4000,0,15.14
4,"Birmingham, AL",2,NonPeak,3,10000,999999,100.00,9999.99,10,4001,999999,0,36.044
4,"Birmingham, AL",2,Peak,1,500,4999,5.00,49.99,1,0,250,0,2.583
4,"Birmingham, AL",2,Peak,1,500,4999,5.00,49.99,2,251,500,0,2.843
4,"Birmingham, AL",2,Peak,1,500,4999,5.00,49.99,3,501,1000,0,3.365
4,"Birmingham, AL",2,Peak,1,500,4999,5.00,49.99,4,1001,1500,0,3.886
4,"Birmingham, AL",2,Peak,1,500,4999,5.00,49.99,5,1501,2000,0,4.408
4,"Birmingham, AL",2,Peak,1,500,4999,5.00,49.99,6,2001,2500,0,4.929
4,"Birmingham, AL",2,Peak,1,500,4999,5.00,49.99,7,2501,3000,0,5.45
4,"Birmingham, AL",2,Peak,1,500,4999,5.00,49.99,8,3001,3500,0,5.972
4,"Birmingham, AL",2,Peak,1,500,4999,5.00,49.99,9,3501,4000,0,6.493
4,"Birmingham, AL",2,Peak,1,500,4999,5.00,49.99,10,4001,999999,0,28.287
4,"Birmingham, AL",2,Peak,2,5000,9999,50.00,99.99,1,0,250,0,4.905
4,"Birmingham, AL",2,Peak,2,5000,9999,50.00,99.99,2,251,500,0,5.166
4,"Birmingham, AL",2,Peak,2,5000,9999,50.00,99.99,3,501,1000,0,5.687
4,"Birmingham, AL",2,Peak,2,5000,9999,50.00,99.99,4,1001,1500,0,6.209
4,"Birmingham, AL",2,Peak,2,5000,9999,50.00,99.99,5,1501,2000,0,6.73
4,"Birmingham, AL",2,Peak,2,5000,9999,50.00,99.99,6,2001,2500,0,7.252
4,"Birmingham, AL",2,Peak,2,5000,9999,50.00,99.99,7,2501,3000,0,7.773
4,"Birmingham, AL",2,Peak,2,5000,9999,50.00,99.99,8,3001,3500,0,8.294
4,"Birmingham, AL",2,Peak,2,5000,9999,50.00,99.99,9,3501,4000,0,8.816
4,"Birmingham, AL",2,Peak,2,5000,9999,50.00,99.99,10,4001,999999,0,30.61
4,"Birmingham, AL",2,Peak,3,10000,999999,100.00,9999.99,1,0,250,0,11.874
4,"Birmingham, AL",2,Peak,3,10000,999999,100.00,9999.99,2,251,500,0,12.134
4,"Birmingham, AL",2,Peak,3,10000,999999,100.00,9999.99,3,501,1000,0,12.656
4,"Birmingham, AL",2,Peak,3,10000,999999,100.00,9999.99,4,1001,1500,0,13.177
4,"Birmingham, AL",2,Peak,3,10000,999999,100.00,9999.99,5,1501,2000,0,13.698
4,"Birmingham, AL",2,Peak,3,10000,999999,100.00,9999.99,6,2001,2500,0,14.22
4,"Birmingham, AL",2,Peak,3,10000,999999,100.00,9999.99,7,2501,3000,0,14.741
4,"Birmingham, AL",2,Peak,3,10000,999999,100.00,9999.99,8,3001,3500,0,15.263
4,"Birmingham, AL",2,Peak,3,10000,999999,100.00,9999.99,9,3501,4000,0,15.784
4,"Birmingham, AL",2,Peak,3,10000,999999,100.00,9999.99,10,4001,999999,0,37.578
8,"Dothan, AL",1,NonPeak,1,500,4999,5.00,49.99,1,0,250,0,1.845
8,"Dothan, AL",1,NonPeak,1,500,4999,5.00,49.99,2,251,500,0,2.031
8,"Dothan, AL",1,NonPeak,1,500,4999,5.00,49.99,3,501,1000,0,2.403
8,"Dothan, AL",1,NonPeak,1,500,4999,5.00,49.99,4,1001,1500,0,2.776
8,"Dothan, AL",1,NonPeak,1,500,4999,5.00,49.99,5,1501,2000,0,3.148
8,"Dothan, AL",1,NonPeak,1,500,4999,5.00,49.99,6,2001,2500,0,3.521
8,"Dothan, AL",1,NonPeak,1,500,4999,5.00,49.99,7,2501,3000,0,3.893
8,"Dothan, AL",1,NonPeak,1,500,4999,5.00,49.99,8,3001,3500,0,4.265
8,"Dothan, AL",1,NonPeak,1,500,4999,5.00,49.99,9,3501,4000,0,4.638
8,"Dothan, AL",1,NonPeak,1,500,4999,5.00,49.99,10,4001,999999,0,20.205
8,"Dothan, AL",1,NonPeak,2,5000,9999,50.00,99.99,1,0,250,0,3.504
8,"Dothan, AL",1,NonPeak,2,5000,9999,50.00,99.99,2,251,500,0,3.69
8,"Dothan, AL",1,NonPeak,2,5000,9999,50.00,99.99,3,501,1000,0,4.062
8,"Dothan, AL",1,NonPeak,2,5000,9999,50.00,99.99,4,1001,1500,0,4.435
8,"Dothan, AL",1,NonPeak,2,5000,9999,50.00,99.99,5,1501,2000,0,4.807
8,"Dothan, AL",1,NonPeak,2,5000,9999,50.00,99.99,6,2001,2500,0,5.18
8,"Dothan, AL",1,NonPeak,2,5000,9999,50.00,99.99,7,2501,3000,0,5.552
8,"Dothan, AL",1,NonPeak,2,5000,9999,50.00,99.99,8,3001,3500,0,5.924
8,"Dothan, AL",1,NonPeak,2,5000,9999,50.00,99.99,9,3501,4000,0,6.297
8,"Dothan, AL",1,NonPeak,2,5000,9999,50.00,99.99,10,4001,999999,0,21.864
8,"Dothan, AL",1,NonPeak,3,10000,999999,100.00,9999.99,1,0,250,0,8.481
8,"Dothan, AL",1,NonPeak,3,10000,999999,100.00,9999.99,2,251,500,0,8.667
8,"Dothan, AL",1,NonPeak,3,10000,999999,100.00,9999.99,3,501,1000,0,9.04
8,"Dothan, AL",1,NonPeak,3,10000,999999,100.00,9999.99,4,1001,1500,0,9.412
8,"Dothan, AL",1,NonPeak,3,10000,999999,100.00,9999.99,5,1501,2000,0,9.785
8,"Dothan, AL",1,NonPeak,3,10000,999999,100.00,9999.99,6,2001,2500,0,10.157
8,"Dothan, AL",1,NonPeak,3,10000,999999,100.00,9999.99,7,2501,3000,0,10.529
8,"Dothan, AL",1,NonPeak,3,10000,999999,100.00,9999.99,8,3001,3500,0,10.902
8,"Dothan, AL",1,NonPeak,3,10000,999999,100.00,9999.99,9,3501,4000,0,11.274
8,"Dothan, AL",1,NonPeak,3,10000,999999,100.00,9999.99,10,4001,999999,0,26.841
8,"Dothan, AL",1,Peak,1,500,4999,5.00,49.99,1,0,250,0,2.003
8,"Dothan, AL",1,Peak,1,500,4999,5.00,49.99,2,251,500,0,2.205
8,"Dothan, AL",1,Peak,1,500,4999,5.00,49.99,3,501,1000,0,2.609
8,"Dothan, AL",1,Peak,1,500,4999,5.00,49.99,4,1001,1500,0,3.014
8,"Dothan, AL",1,Peak,1,500,4999,5.00,49.99,5,1501,2000,0,3.418
8,"Dothan, AL",1,Peak,1,500,4999,5.00,49.99,6,2001,2500,0,3.822
8,"Dothan, AL",1,Peak,1,500,4999,5.00,49.99,7,2501,3000,0,4.227
8,"Dothan, AL",1,Peak,1,500,4999,5.00,49.99,8,3001,3500,0,4.631
8,"Dothan, AL",1,Peak,1,500,4999,5.00,49.99,9,3501,4000,0,5.035
8,"Dothan, AL",1,Peak,1,500,4999,5.00,49.99,10,4001,999999,0,21.937
8,"Dothan, AL",1,Peak,2,5000,9999,50.00,99.99,1,0,250,0,3.804
8,"Dothan, AL",1,Peak,2,5000,9999,50.00,99.99,2,251,500,0,4.006
8,"Dothan, AL",1,Peak,2,5000,9999,50.00,99.99,3,501,1000,0,4.411
8,"Dothan, AL",1,Peak,2,5000,9999,50.00,99.99,4,1001,1500,0,4.815
8,"Dothan, AL",1,Peak,2,5000,9999,50.00,99.99,5,1501,2000,0,5.219
8,"Dothan, AL",1,Peak,2,5000,9999,50.00,99.99,6,2001,2500,0,5.624
8,"Dothan, AL",1,Peak,2,5000,9999,50.00,99.99,7,2501,3000,0,6.028
