origin_intl_price_area_id,origin_intl_price_area,destination_intl_price_area_id,destination_intl_price_area,season,hhg_shipping_linehaul_price,ub_price
AR,Argentina,AR,Argentina,NonPeak,$10.35,$16.89
AR,Argentina,AR,Argentina,Peak,$12.21,$19.93
AR,Argentina,AS11,New South Wales/Australian Capital Territory,NonPeak,$10.83,$11.66
AR,Argentina,AS11,New South Wales/Australian Capital Territory,Peak,$12.78,$13.76
AR,Argentina,AS21,Northern Territory,NonPeak,$11.35,$10.16
AR,Argentina,AS21,Northern Territory,Peak,$13.39,$11.99
AR,Argentina,BA,Bahrain,NonPeak,$11.82,$16.98
AR,Argentina,BA,Bahrain,Peak,$13.95,$20.04
AR,Argentina,BE,Belgium,NonPeak,$8.88,$11.75
AR,Argentina,BE,Belgium,Peak,$10.48,$13.86
AR,Argentina,BL,Bolivia,NonPeak,$9.31,$10.25
AR,Argentina,BL,Bolivia,Peak,$10.99,$12.09
AR,Argentina,BR,Brazil - Brazilia,NonPeak,$9.77,$17.11
AR,Argentina,BR,Brazil - Brazilia,Peak,$11.53,$20.19
AR,Argentina,CA10,Ontario,NonPeak,$10.21,$11.86
AR,Argentina,CA10,Ontario,Peak,$12.05,$13.99
AR,Argentina,CA20,Quebec,NonPeak,$10.65,$10.37
AR,Argentina,CA20,Quebec,Peak,$12.57,$12.24
AR,Argentina,CA30,Manitoba,NonPeak,$10.35,$17.17
AR,Argentina,CA30,Manitoba,Peak,$12.21,$20.26
AR,Argentina,CI,Chile,NonPeak,$10.83,$10.50
AR,Argentina,CI,Chile,Peak,$12.78,$12.39
AR,Argentina,CO,Colombia,NonPeak,$11.35,$17.59
AR,Argentina,CO,Colombia,Peak,$13.39,$20.76
AR,Argentina,CS,Costa Rica,NonPeak,$11.82,$12.03
AR,Argentina,CS,Costa Rica,Peak,$13.95,$14.20
AR,Argentina,EC,Ecuador,NonPeak,$8.88,$12.66
AR,Argentina,EC,Ecuador,Peak,$10.48,$14.94
AR,Argentina,ES,El Salvador,NonPeak,$9.31,$17.97
AR,Argentina,ES,El Salvador,Peak,$10.99,$21.20
AR,Argentina,GE,Germany,NonPeak,$9.77,$12.36
AR,Argentina,GE,Germany,Peak,$11.53,$14.58
AR,Argentina,GQ,Guam,NonPeak,$10.21,$10.91
AR,Argentina,GQ,Guam,Peak,$12.05,$12.87
AR,Argentina,GR,Greece,NonPeak,$10.65,$18.51
AR,Argentina,GR,Greece,Peak,$12.57,$21.84
AR,Argentina,GR29,Crete,NonPeak,$10.35,$12.70
AR,Argentina,GR29,Crete,Peak,$12.21,$14.99
AR,Argentina,GT,Guatemala,NonPeak,$10.83,$11.24
AR,Argentina,GT,Guatemala,Peak,$12.78,$13.26
AR,Argentina,HO,Honduras,NonPeak,$11.35,$19.00
AR,Argentina,HO,Honduras,Peak,$13.39,$22.42
AR,Argentina,HU,Hungary,NonPeak,$11.82,$12.99
AR,Argentina,HU,Hungary,Peak,$13.95,$15.33
AR,Argentina,IT,Italy,NonPeak,$8.88,$11.54
AR,Argentina,IT,Italy,Peak,$10.48,$13.62
AR,Argentina,IT10,Sicily,NonPeak,$9.31,$16.89
AR,Argentina,IT10,Sicily,Peak,$10.99,$19.93
AR,Argentina,JA01,Japan-Central,NonPeak,$9.77,$11.66
AR,Argentina,JA01,Japan-Central,Peak,$11.53,$13.76
AR,Argentina,JA02,Japan-South (Excludes Hokkaido),NonPeak,$10.21,$10.16
AR,Argentina,JA02,Japan-South (Excludes Hokkaido),Peak,$12.05,$11.99
AR,Argentina,JA03,Japan-North,NonPeak,$10.65,$16.98
AR,Argentina,JA03,Japan-North,Peak,$12.57,$20.04
AR,Argentina,JA96,Okinawa,NonPeak,$10.35,$11.75
AR,Argentina,JA96,Okinawa,Peak,$12.21,$13.86
AR,Argentina,KS,"Korea, Republic Of",NonPeak,$10.83,$10.25
AR,Argentina,KS,"Korea, Republic Of",Peak,$12.78,$12.09
AR,Argentina,KU,Kuwait,NonPeak,$11.35,$17.11
AR,Argentina,KU,Kuwait,Peak,$13.39,$20.19
AR,Argentina,NL,Netherlands,NonPeak,$11.82,$11.86
AR,Argentina,NL,Netherlands,Peak,$13.95,$13.99
AR,Argentina,NO,Norway,NonPeak,$8.88,$10.37
AR,Argentina,NO,Norway,Peak,$10.48,$12.24
AR,Argentina,PA,Paraguay,NonPeak,$9.31,$17.17
AR,Argentina,PA,Paraguay,Peak,$10.99,$20.26
AR,Argentina,PE,Peru,NonPeak,$9.77,$10.50
AR,Argentina,PE,Peru,Peak,$11.53,$12.39
AR,Argentina,PL,Poland,NonPeak,$10.21,$17.59
AR,Argentina,PL,Poland,Peak,$12.05,$20.76
AR,Argentina,PO,Portugal,NonPeak,$10.65,$12.03
AR,Argentina,PO,Portugal,Peak,$12.57,$14.20
AR,Argentina,PO01,Azores,NonPeak,$10.35,$12.66
AR,Argentina,PO01,Azores,Peak,$12.21,$14.94
AR,Argentina,QA,Qatar,NonPeak,$10.83,$17.97
AR,Argentina,QA,Qatar,Peak,$12.78,$21.20
AR,Argentina,RO,Romania,NonPeak,$11.35,$12.36
AR,Argentina,RO,Romania,Peak,$13.39,$14.58
AR,Argentina,RQ,Puerto Rico,NonPeak,$11.82,$10.91
AR,Argentina,RQ,Puerto Rico,Peak,$13.95,$12.87
AR,Argentina,SA,Saudi Arabia,NonPeak,$8.88,$18.51
AR,Argentina,SA,Saudi Arabia,Peak,$10.48,$21.84
AR,Argentina,SN,Singapore,NonPeak,$9.31,$12.70
AR,Argentina,SN,Singapore,Peak,$10.99,$14.99
AR,Argentina,SP,Spain,NonPeak,$9.77,$11.24
AR,Argentina,SP,Spain,Peak,$11.53,$13.26
AR,Argentina,TU,Turkey,NonPeak,$10.21,$19.00
AR,Argentina,TU,Turkey,Peak,$12.05,$22.42
AR,Argentina,UK,United Kingdom,NonPeak,$10.65,$12.99
AR,Argentina,UK,United Kingdom,Peak,$12.57,$15.33
AR,Argentina,US8030400,Alaska (Zone) IV,NonPeak,$10.35,$11.54
AR,Argentina,US8030400,Alaska (Zone) IV,Peak,$12.21,$13.62
AR,Argentina,US8050500,Alaska (Zone) III,NonPeak,$10.83,$16.89
AR,Argentina,US8050500,Alaska (Zone) III,Peak,$12.78,$19.93
AR,Argentina,US8101000,Alaska (Zone) I,NonPeak,$11.35,$11.66
AR,Argentina,US8101000,Alaska (Zone) I,Peak,$13.39,$13.76
AR,Argentina,US8190100,Alaska (Zone) II,NonPeak,$11.82,$10.16
AR,Argentina,US8190100,Alaska (Zone) II,Peak,$13.95,$11.99
AR,Argentina,US89,Hawaii,NonPeak,$8.88,$16.98
AR,Argentina,US89,Hawaii,Peak,$10.48,$20.04
AR,Argentina,UY,Uruguay,NonPeak,$9.31,$11.75
AR,Argentina,UY,Uruguay,Peak,$10.99,$13.86
AR,Argentina,VE,Venezuela,NonPeak,$9.77,$10.25
AR,Argentina,VE,Venezuela,Peak,$11.53,$12.09
AS11,New South Wales/Australian Capital Territory,AR,Argentina,NonPeak,$10.21,$17.11
AS11,New South Wales/Australian Capital Territory,AR,Argentina,Peak,$12.05,$20.19
AS11,New South Wales/Australian Capital Territory,AS11,New South Wales/Australian Capital Territory,NonPeak,$10.65,$11.86
AS11,New South Wales/Australian Capital Territory,AS11,New South Wales/Australian Capital Territory,Peak,$12.57,$13.99
AS11,New South Wales/Australian Capital Territory,AS21,Northern Territory,NonPeak,$10.35,$10.37
AS11,New South Wales/Australian Capital Territory,AS21,Northern Territory,Peak,$12.21,$12.24
AS11,New South Wales/Australian Capital Territory,BA,Bahrain,NonPeak,$10.83,$17.17
AS11,New South Wales/Australian Capital Territory,BA,Bahrain,Peak,$12.78,$20.26
AS11,New South Wales/Australian Capital Territory,BE,Belgium,NonPeak,$11.35,$10.50
AS11,New South Wales/Australian Capital Territory,BE,Belgium,Peak,$13.39,$12.39
AS11,New South Wales/Australian Capital Territory,BL,Bolivia,NonPeak,$11.82,$17.59
AS11,New South Wales/Australian Capital Territory,BL,Bolivia,Peak,$13.95,$20.76
AS11,New South Wales/Australian Capital Territory,BR,Brazil - Brazilia,NonPeak,$8.88,$12.03
AS11,New South Wales/Australian Capital Territory,BR,Brazil - Brazilia,Peak,$10.48,$14.20
AS11,New South Wales/Australian Capital Territory,CA10,Ontario,NonPeak,$9.31,$12.66
AS11,New South Wales/Australian Capital Territory,CA10,Ontario,Peak,$10.99,$14.94
AS11,New South Wales/Australian Capital Territory,CA20,Quebec,NonPeak,$9.77,$17.97
AS11,New South Wales/Australian Capital Territory,CA20,Quebec,Peak,$11.53,$21.20
AS11,New South Wales/Australian Capital Territory,CA30,Manitoba,NonPeak,$10.21,$12.36
AS11,New South Wales/Australian Capital Territory,CA30,Manitoba,Peak,$12.05,$14.58
AS11,New South Wales/Australian Capital Territory,CI,Chile,NonPeak,$10.65,$10.91
AS11,New South Wales/Australian Capital Territory,CI,Chile,Peak,$12.57,$12.87
AS11,New South Wales/Australian Capital Territory,CO,Colombia,NonPeak,$10.35,$18.51
AS11,New South Wales/Australian Capital Territory,CO,Colombia,Peak,$12.21,$21.84
AS11,New South Wales/Australian Capital Territory,CS,Costa Rica,NonPeak,$10.83,$12.70
AS11,New South Wales/Australian Capital Territory,CS,Costa Rica,Peak,$12.78,$14.99
AS11,New South Wales/Australian Capital Territory,EC,Ecuador,NonPeak,$11.35,$11.24
AS11,New South Wales/Australian Capital Territory,EC,Ecuador,Peak,$13.39,$13.26
AS11,New South Wales/Australian Capital Territory,ES,El Salvador,NonPeak,$11.82,$19.00
AS11,New South Wales/Australian Capital Territory,ES,El Salvador,Peak,$13.95,$22.42
AS11,New South Wales/Australian Capital Territory,GE,Germany,NonPeak,$8.88,$12.99
AS11,New South Wales/Australian Capital Territory,GE,Germany,Peak,$10.48,$15.33
AS11,New South Wales/Australian Capital Territory,GQ,Guam,NonPeak,$9.31,$11.54
AS11,New South Wales/Australian Capital Territory,GQ,Guam,Peak,$10.99,$13.62
AS11,New South Wales/Australian Capital Territory,GR,Greece,NonPeak,$9.77,$16.89
AS11,New South Wales/Australian Capital Territory,GR,Greece,Peak,$11.53,$19.93
AS11,New South Wales/Australian Capital Territory,GR29,Crete,NonPeak,$10.21,$11.66
AS11,New South Wales/Australian Capital Territory,GR29,Crete,Peak,$12.05,$13.76
AS11,New South Wales/Australian Capital Territory,GT,Guatemala,NonPeak,$10.65,$10.16
AS11,New South Wales/Australian Capital Territory,GT,Guatemala,Peak,$12.57,$11.99
AS11,New South Wales/Australian Capital Territory,HO,Honduras,NonPeak,$10.35,$16.98
AS11,New South Wales/Australian Capital Territory,HO,Honduras,Peak,$12.21,$20.04
AS11,New South Wales/Australian Capital Territory,HU,Hungary,NonPeak,$10.83,$11.75
AS11,New South Wales/Australian Capital Territory,HU,Hungary,Peak,$12.78,$13.86
AS11,New South Wales/Australian Capital Territory,IT,Italy,NonPeak,$11.35,$10.25
AS11,New South Wales/Australian Capital Territory,IT,Italy,Peak,$13.39,$12.09
AS11,New South Wales/Australian Capital Territory,IT10,Sicily,NonPeak,$11.82,$17.11
AS11,New South Wales/Australian Capital Territory,IT10,Sicily,Peak,$13.95,$20.19
AS11,New South Wales/Australian Capital Territory,JA01,Japan-Central,NonPeak,$8.88,$11.86
AS11,New South Wales/Australian Capital Territory,JA01,Japan-Central,Peak,$10.48,$13.99
AS11,New South Wales/Australian Capital Territory,JA02,Japan-South (Excludes Hokkaido),NonPeak,$9.31,$10.37
AS11,New South Wales/Australian Capital Territory,JA02,Japan-South (Excludes Hokkaido),Peak,$10.99,$12.24
AS11,New South Wales/Australian Capital Territory,JA03,Japan-North,NonPeak,$9.77,$17.17
AS11,New South Wales/Australian Capital Territory,JA03,Japan-North,Peak,$11.53,$20.26
AS11,New South Wales/Australian Capital Territory,JA96,Okinawa,NonPeak,$10.21,$10.50
AS11,New South Wales/Australian Capital Territory,JA96,Okinawa,Peak,$12.05,$12.39
AS11,New South Wales/Australian Capital Territory,KS,"Korea, Republic Of",NonPeak,$10.65,$17.59
AS11,New South Wales/Australian Capital Territory,KS,"Korea, Republic Of",Peak,$12.57,$20.76
AS11,New South Wales/Australian Capital Territory,KU,Kuwait,NonPeak,$10.35,$12.03
AS11,New South Wales/Australian Capital Territory,KU,Kuwait,Peak,$12.21,$14.20
AS11,New South Wales/Australian Capital Territory,NL,Netherlands,NonPeak,$10.83,$12.66
AS11,New South Wales/Australian Capital Territory,NL,Netherlands,Peak,$12.78,$14.94
AS11,New South Wales/Australian Capital Territory,NO,Norway,NonPeak,$11.35,$17.97
AS11,New South Wales/Australian Capital Territory,NO,Norway,Peak,$13.39,$21.20
AS11,New South Wales/Australian Capital Territory,PA,Paraguay,NonPeak,$11.82,$12.36
AS11,New South Wales/Australian Capital Territory,PA,Paraguay,Peak,$13.95,$14.58
AS11,New South Wales/Australian Capital Territory,PE,Peru,NonPeak,$8.88,$10.91
AS11,New South Wales/Australian Capital Territory,PE,Peru,Peak,$10.48,$12.87
AS11,New South Wales/Australian Capital Territory,PL,Poland,NonPeak,$9.31,$18.51
AS11,New South Wales/Australian Capital Territory,PL,Poland,Peak,$10.99,$21.84
AS11,New South Wales/Australian Capital Territory,PO,Portugal,NonPeak,$9.77,$12.70
AS11,New South Wales/Australian Capital Territory,PO,Portugal,Peak,$11.53,$14.99
AS11,New South Wales/Australian Capital Territory,PO01,Azores,NonPeak,$10.21,$11.24
AS11,New South Wales/Australian Capital Territory,PO01,Azores,Peak,$12.05,$13.26
AS11,New South Wales/Australian Capital Territory,QA,Qatar,NonPeak,$10.65,$19.00
AS11,New South Wales/Australian Capital Territory,QA,Qatar,Peak,$12.57,$22.42
AS11,New South Wales/Australian Capital Territory,RO,Romania,NonPeak,$10.35,$12.99
AS11,New South Wales/Australian Capital Territory,RO,Romania,Peak,$12.21,$15.33
AS11,New South Wales/Australian Capital Territory,RQ,Puerto Rico,NonPeak,$10.83,$11.54
AS11,New South Wales/Australian Capital Territory,RQ,Puerto Rico,Peak,$12.78,$13.62
AS11,New South Wales/Australian Capital Territory,SA,Saudi Arabia,NonPeak,$11.35,$16.89
AS11,New South Wales/Australian Capital Territory,SA,Saudi Arabia,Peak,$13.39,$19.93
AS11,New South Wales/Australian Capital Territory,SN,Singapore,NonPeak,$11.82,$11.66
AS11,New South Wales/Australian Capital Territory,SN,Singapore,Peak,$13.95,$13.76
AS11,New South Wales/Australian Capital Territory,SP,Spain,NonPeak,$8.88,$10.16
AS11,New South Wales/Australian Capital Territory,SP,Spain,Peak,$10.48,$11.99
AS11,New South Wales/Australian Capital Territory,TU,Turkey,NonPeak,$9.31,$16.98
AS11,New South Wales/Australian Capital Territory,TU,Turkey,Peak,$10.99,$20.04
AS11,New South Wales/Australian Capital Territory,UK,United Kingdom,NonPeak,$9.77,$11.75
AS11,New South Wales/Australian Capital Territory,UK,United Kingdom,Peak,$11.53,$13.86
AS11,New South Wales/Australian Capital Territory,US8030400,Alaska (Zone) IV,NonPeak,$10.21,$10.25
AS11,New South Wales/Australian Capital Territory,US8030400,Alaska (Zone) IV,Peak,$12.05,$12.09
AS11,New South Wales/Australian Capital Territory,US8050500,Alaska (Zone) III,NonPeak,$10.65,$17.11
AS11,New South Wales/Australian Capital Territory,US8050500,Alaska (Zone) III,Peak,$12.57,$20.19
AS11,New South Wales/Australian Capital Territory,US8101000,Alaska (Zone) I,NonPeak,$10.35,$11.86
AS11,New South Wales/Australian Capital Territory,US8101000,Alaska (Zone) I,Peak,$12.21,$13.99
AS11,New South Wales/Australian Capital Territory,US8190100,Alaska (Zone) II,NonPeak,$10.83,$10.37
AS11,New South Wales/Australian Capital Territory,US8190100,Alaska (Zone) II,Peak,$12.78,$12.24
AS11,New South Wales/Australian Capital Territory,US89,Hawaii,NonPeak,$11.35,$17.17
AS11,New South Wales/Australian Capital Territory,US89,Hawaii,Peak,$13.39,$20.26
AS11,New South Wales/Australian Capital Territory,UY,Uruguay,NonPeak,$11.82,$10.50
AS11,New South Wales/Australian Capital Territory,UY,Uruguay,Peak,$13.95,$12.39
AS11,New South Wales/Australian Capital Territory,VE,Venezuela,NonPeak,$8.88,$17.59
AS11,New South Wales/Australian Capital Territory,VE,Venezuela,Peak,$10.48,$20.76
AS21,Northern Territory,AR,Argentina,NonPeak,$9.31,$12.03
AS21,Northern Territory,AR,Argentina,Peak,$10.99,$14.20
AS21,Northern Territory,AS11,New South Wales/Australian Capital Territory,NonPeak,$9.77,$12.66
AS21,Northern Territory,AS11,New South Wales/Australian Capital Territory,Peak,$11.53,$14.94
AS21,Northern Territory,AS21,Northern Territory,NonPeak,$10.21,$17.97
AS21,Northern Territory,AS21,Northern Territory,Peak,$12.05,$21.20
AS21,Northern Territory,BA,Bahrain,NonPeak,$10.65,$12.36
AS21,Northern Territory,BA,Bahrain,Peak,$12.57,$14.58
AS21,Northern Territory,BE,BELGIUM,NonPeak,$10.35,$10.91
AS21,Northern Territory,BE,BELGIUM,Peak,$12.21,$12.87
AS21,Northern Territory,BL,Bolivia,NonPeak,$10.83,$18.51
AS21,Northern Territory,BL,Bolivia,Peak,$12.78,$21.84
AS21,Northern Territory,BR,Brazil - Brazilia,NonPeak,$11.35,$12.70
AS21,Northern Territory,BR,Brazil - Brazilia,Peak,$13.39,$14.99
AS21,Northern Territory,CA10,Ontario,NonPeak,$11.82,$11.24
AS21,Northern Territory,CA10,Ontario,Peak,$13.95,$13.26
AS21,Northern Territory,CA20,Quebec,NonPeak,$8.88,$19.00
AS21,Northern Territory,CA20,Quebec,Peak,$10.48,$22.42
AS21,Northern Territory,CA30,Manitoba,NonPeak,$9.31,$12.99
AS21,Northern Territory,CA30,Manitoba,Peak,$10.99,$15.33
AS21,Northern Territory,CI,Chile,NonPeak,$9.77,$11.54
AS21,Northern Territory,CI,Chile,Peak,$11.53,$13.62
AS21,Northern Territory,CO,Colombia,NonPeak,$10.21,$16.89
AS21,Northern Territory,CO,Colombia,Peak,$12.05,$19.93
AS21,Northern Territory,CS,Costa Rica,NonPeak,$10.65,$11.66
AS21,Northern Territory,CS,Costa Rica,Peak,$12.57,$13.76
AS21,Northern Territory,EC,Ecuador,NonPeak,$10.35,$10.16
AS21,Northern Territory,EC,Ecuador,Peak,$12.21,$11.99
AS21,Northern Territory,ES,El Salvador,NonPeak,$10.83,$16.98
AS21,Northern Territory,ES,El Salvador,Peak,$12.78,$20.04
AS21,Northern Territory,GE,GERMANY,NonPeak,$11.35,$11.75
AS21,Northern Territory,GE,GERMANY,Peak,$13.39,$13.86
AS21,Northern Territory,GQ,GUAM,NonPeak,$11.82,$10.25
AS21,Northern Territory,GQ,GUAM,Peak,$13.95,$12.09
AS21,Northern Territory,GR,Greece,NonPeak,$8.88,$17.11
AS21,Northern Territory,GR,Greece,Peak,$10.48,$20.19
AS21,Northern Territory,GR29,Crete,NonPeak,$9.31,$11.86
AS21,Northern Territory,GR29,Crete,Peak,$10.99,$13.99
AS21,Northern Territory,GT,Guatemala,NonPeak,$9.77,$10.37
AS21,Northern Territory,GT,Guatemala,Peak,$11.53,$12.24
AS21,Northern Territory,HO,Honduras,NonPeak,$10.21,$17.17
AS21,Northern Territory,HO,Honduras,Peak,$12.05,$20.26
AS21,Northern Territory,HU,Hungary,NonPeak,$10.65,$10.50
AS21,Northern Territory,HU,Hungary,Peak,$12.57,$12.39
AS21,Northern Territory,IT,Italy,NonPeak,$10.35,$17.59
AS21,Northern Territory,IT,Italy,Peak,$12.21,$20.76
AS21,Northern Territory,IT10,Sicily,NonPeak,$10.83,$12.03
AS21,Northern Territory,IT10,Sicily,Peak,$12.78,$14.20
AS21,Northern Territory,JA01,JAPAN-CENTRAL,NonPeak,$11.35,$12.66
AS21,Northern Territory,JA01,JAPAN-CENTRAL,Peak,$13.39,$14.94
AS21,Northern Territory,JA02,JAPAN-SOUTH (EXCLUDES HOKKAIDO),NonPeak,$11.82,$17.97
AS21,Northern Territory,JA02,JAPAN-SOUTH (EXCLUDES HOKKAIDO),Peak,$13.95,$21.20
AS21,Northern Territory,JA03,JAPAN-NORTH,NonPeak,$8.88,$12.36
AS21,Northern Territory,JA03,JAPAN-NORTH,Peak,$10.48,$14.58
AS21,Northern Territory,JA96,OKINAWA,NonPeak,$9.31,$10.91
AS21,Northern Territory,JA96,OKINAWA,Peak,$10.99,$12.87
AS21,Northern Territory,KS,"KOREA, REPUBLIC OF",NonPeak,$9.77,$18.51
AS21,Northern Territory,KS,"KOREA, REPUBLIC OF",Peak,$11.53,$21.84
AS21,Northern Territory,KU,Kuwait,NonPeak,$10.21,$12.70
AS21,Northern Territory,KU,Kuwait,Peak,$12.05,$14.99
AS21,Northern Territory,NL,Netherlands,NonPeak,$10.65,$11.24
AS21,Northern Territory,NL,Netherlands,Peak,$12.57,$13.26
AS21,Northern Territory,NO,Norway,NonPeak,$10.35,$19.00
AS21,Northern Territory,NO,Norway,Peak,$12.21,$22.42
AS21,Northern Territory,PA,Paraguay,NonPeak,$10.83,$12.99
AS21,Northern Territory,PA,Paraguay,Peak,$12.78,$15.33
AS21,Northern Territory,PE,Peru,NonPeak,$11.35,$11.54
AS21,Northern Territory,PE,Peru,Peak,$13.39,$13.62
AS21,Northern Territory,PL,Poland,NonPeak,$11.82,$16.89
AS21,Northern Territory,PL,Poland,Peak,$13.95,$19.93
AS21,Northern Territory,PO,Portugal,NonPeak,$8.88,$11.66
AS21,Northern Territory,PO,Portugal,Peak,$10.48,$13.76
AS21,Northern Territory,PO01,Azores,NonPeak,$9.31,$10.16
AS21,Northern Territory,PO01,Azores,Peak,$10.99,$11.99
AS21,Northern Territory,QA,Qatar,NonPeak,$9.77,$16.98
AS21,Northern Territory,QA,Qatar,Peak,$11.53,$20.04
AS21,Northern Territory,RO,Romania,NonPeak,$10.21,$11.75
AS21,Northern Territory,RO,Romania,Peak,$12.05,$13.86
AS21,Northern Territory,RQ,Puerto Rico,NonPeak,$10.65,$10.25
AS21,Northern Territory,RQ,Puerto Rico,Peak,$12.57,$12.09
AS21,Northern Territory,SA,Saudi Arabia,NonPeak,$10.35,$17.11
AS21,Northern Territory,SA,Saudi Arabia,Peak,$12.21,$20.19
AS21,Northern Territory,SN,Singapore,NonPeak,$10.83,$11.86
AS21,Northern Territory,SN,Singapore,Peak,$12.78,$13.99
AS21,Northern Territory,SP,SPAIN,NonPeak,$11.35,$10.37
AS21,Northern Territory,SP,SPAIN,Peak,$13.39,$12.24
AS21,Northern Territory,TU,TURKEY,NonPeak,$11.82,$17.17
AS21,Northern Territory,TU,TURKEY,Peak,$13.95,$20.26
AS21,Northern Territory,UK,UNITED KINGDOM,NonPeak,$8.88,$10.50
AS21,Northern Territory,UK,UNITED KINGDOM,Peak,$10.48,$12.39
AS21,Northern Territory,US8030400,Alaska (Zone) IV,NonPeak,$9.31,$17.59
AS21,Northern Territory,US8030400,Alaska (Zone) IV,Peak,$10.99,$20.76
AS21,Northern Territory,US8050500,Alaska (Zone) III,NonPeak,$9.77,$12.03
AS21,Northern Territory,US8050500,Alaska (Zone) III,Peak,$11.53,$14.20
AS21,Northern Territory,US8101000,Alaska (Zone) I,NonPeak,$10.21,$12.66
AS21,Northern Territory,US8101000,Alaska (Zone) I,Peak,$12.05,$14.94
AS21,Northern Territory,US8190100,Alaska (Zone) II,NonPeak,$10.65,$17.97
AS21,Northern Territory,US8190100,Alaska (Zone) II,Peak,$12.57,$21.20
AS21,Northern Territory,US89,Hawaii,NonPeak,$10.35,$12.36
AS21,Northern Territory,US89,Hawaii,Peak,$12.21,$14.58
AS21,Northern Territory,UY,Uruguay,NonPeak,$10.83,$10.91
AS21,Northern Territory,UY,Uruguay,Peak,$12.78,$12.87
AS21,Northern Territory,VE,Venezuela,NonPeak,$11.35,$18.51
AS21,Northern Territory,VE,Venezuela,Peak,$13.39,$21.84
BA,Bahrain,AR,Argentina,NonPeak,$11.82,$12.70
BA,Bahrain,AR,Argentina,Peak,$13.95,$14.99
BA,Bahrain,AS11,New South Wales/Australian Capital Territory,NonPeak,$8.88,$11.24
BA,Bahrain,AS11,New South Wales/Australian Capital Territory,Peak,$10.48,$13.26
BA,Bahrain,AS21,Northern Territory,NonPeak,$9.31,$19.00
BA,Bahrain,AS21,Northern Territory,Peak,$10.99,$22.42
BA,Bahrain,BA,Bahrain,NonPeak,$9.77,$12.99
BA,Bahrain,BA,Bahrain,Peak,$11.53,$15.33
BA,Bahrain,BE,Belgium,NonPeak,$10.21,$11.54
BA,Bahrain,BE,Belgium,Peak,$12.05,$13.62
BA,Bahrain,BL,Bolivia,NonPeak,$10.65,$16.89
BA,Bahrain,BL,Bolivia,Peak,$12.57,$19.93
BA,Bahrain,BR,Brazil - Brazilia,NonPeak,$10.35,$11.66
BA,Bahrain,BR,Brazil - Brazilia,Peak,$12.21,$13.76
BA,Bahrain,CA10,Ontario,NonPeak,$10.83,$10.16
BA,Bahrain,CA10,Ontario,Peak,$12.78,$11.99
BA,Bahrain,CA20,Quebec,NonPeak,$11.35,$16.98
BA,Bahrain,CA20,Quebec,Peak,$13.39,$20.04
BA,Bahrain,CA30,Manitoba,NonPeak,$11.82,$11.75
BA,Bahrain,CA30,Manitoba,Peak,$13.95,$13.86
BA,Bahrain,CI,Chile,NonPeak,$8.88,$10.25
BA,Bahrain,CI,Chile,Peak,$10.48,$12.09
BA,Bahrain,CO,Colombia,NonPeak,$9.31,$17.11
BA,Bahrain,CO,Colombia,Peak,$10.99,$20.19
BA,Bahrain,CS,Costa Rica,NonPeak,$9.77,$11.86
BA,Bahrain,CS,Costa Rica,Peak,$11.53,$13.99
BA,Bahrain,EC,Ecuador,NonPeak,$10.21,$10.37
BA,Bahrain,EC,Ecuador,Peak,$12.05,$12.24
BA,Bahrain,ES,El Salvador,NonPeak,$10.65,$17.17
BA,Bahrain,ES,El Salvador,Peak,$12.57,$20.26
