origin_domestic_price_area_code,origin_domestic_price_area,destination_intl_price_area_id,destination_intl_price_area,season,hhg_shipping_linehaul_price,ub_price
US11,Maine,AR,Argentina,NonPeak,$15.28,$43.94
US11,Maine,AR,Argentina,Peak,$18.03,$51.85
US11,Maine,AS11,New South Wales/Australian Capital Territory,NonPeak,$16.05,$33.70
US11,Maine,AS11,New South Wales/Australian Capital Territory,Peak,$18.94,$39.77
US11,Maine,AS21,Northern Territory,NonPeak,$16.80,$31.29
US11,Maine,AS21,Northern Territory,Peak,$19.82,$36.92
US11,Maine,BA,Bahrain,NonPeak,$17.57,$44.05
US11,Maine,BA,Bahrain,Peak,$20.73,$51.98
US11,Maine,BE,Belgium,NonPeak,$18.33,$33.75
US11,Maine,BE,Belgium,Peak,$21.63,$39.82
US11,Maine,BL,Bolivia,NonPeak,$24.38,$31.40
US11,Maine,BL,Bolivia,Peak,$28.77,$37.05
US11,Maine,BR,Brazil - Brazilia,NonPeak,$16.00,$44.17
US11,Maine,BR,Brazil - Brazilia,Peak,$18.88,$52.12
US11,Maine,CA10,Ontario,NonPeak,$27.63,$33.98
US11,Maine,CA10,Ontario,Peak,$32.60,$40.10
US11,Maine,CA20,Quebec,NonPeak,$29.28,$31.45
US11,Maine,CA20,Quebec,Peak,$34.55,$37.11
US11,Maine,CA30,Manitoba,NonPeak,$30.90,$44.28
US11,Maine,CA30,Manitoba,Peak,$36.46,$52.25
US11,Maine,CI,Chile,NonPeak,$15.28,$34.11
US11,Maine,CI,Chile,Peak,$18.03,$40.25
US11,Maine,CO,Colombia,NonPeak,$16.05,$31.63
US11,Maine,CO,Colombia,Peak,$18.94,$37.32
US11,Maine,CS,Costa Rica,NonPeak,$16.80,$44.51
US11,Maine,CS,Costa Rica,Peak,$19.82,$52.52
US11,Maine,EC,Ecuador,NonPeak,$17.57,$34.33
US11,Maine,EC,Ecuador,Peak,$20.73,$40.51
US11,Maine,ES,El Salvador,NonPeak,$18.33,$31.74
US11,Maine,ES,El Salvador,Peak,$21.63,$37.45
US11,Maine,GE,Germany,NonPeak,$24.38,$44.62
US11,Maine,GE,Germany,Peak,$28.77,$52.65
US11,Maine,GQ,Guam,NonPeak,$16.00,$34.45
US11,Maine,GQ,Guam,Peak,$18.88,$40.65
US11,Maine,GR,Greece,NonPeak,$27.63,$31.91
US11,Maine,GR,Greece,Peak,$32.60,$37.65
US11,Maine,GR29,Crete,NonPeak,$29.28,$44.74
US11,Maine,GR29,Crete,Peak,$34.55,$52.79
US11,Maine,GT,Guatemala,NonPeak,$30.90,$34.56
US11,Maine,GT,Guatemala,Peak,$36.46,$40.78
US11,Maine,HO,Honduras,NonPeak,$15.28,$32.09
US11,Maine,HO,Honduras,Peak,$18.03,$37.87
US11,Maine,HU,Hungary,NonPeak,$16.05,$44.91
US11,Maine,HU,Hungary,Peak,$18.94,$52.99
US11,Maine,IT,Italy,NonPeak,$16.80,$34.74
US11,Maine,IT,Italy,Peak,$19.82,$40.99
US11,Maine,IT10,Sicily,NonPeak,$17.57,$32.26
US11,Maine,IT10,Sicily,Peak,$20.73,$38.07
US11,Maine,JA01,Japan-Central,NonPeak,$18.33,$45.09
US11,Maine,JA01,Japan-Central,Peak,$21.63,$53.21
US11,Maine,JA02,Japan-South (Excludes Hokkaido),NonPeak,$24.38,$34.90
US11,Maine,JA02,Japan-South (Excludes Hokkaido),Peak,$28.77,$41.18
US11,Maine,JA03,Japan-North,NonPeak,$16.00,$32.44
US11,Maine,JA03,Japan-North,Peak,$18.88,$38.28
US11,Maine,JA96,Okinawa,NonPeak,$27.63,$43.94
US11,Maine,JA96,Okinawa,Peak,$32.60,$51.85
US11,Maine,KS,"Korea, Republic Of",NonPeak,$29.28,$33.70
US11,Maine,KS,"Korea, Republic Of",Peak,$34.55,$39.77
US11,Maine,KU,Kuwait,NonPeak,$30.90,$31.29
US11,Maine,KU,Kuwait,Peak,$36.46,$36.92
US11,Maine,NL,Netherlands,NonPeak,$15.28,$44.05
US11,Maine,NL,Netherlands,Peak,$18.03,$51.98
US11,Maine,NO,Norway,NonPeak,$16.05,$33.75
US11,Maine,NO,Norway,Peak,$18.94,$39.82
US11,Maine,PA,Paraguay,NonPeak,$16.80,$31.40
US11,Maine,PA,Paraguay,Peak,$19.82,$37.05
US11,Maine,PE,Peru,NonPeak,$17.57,$44.17
US11,Maine,PE,Peru,Peak,$20.73,$52.12
US11,Maine,PL,Poland,NonPeak,$18.33,$33.98
US11,Maine,PL,Poland,Peak,$21.63,$40.10
US11,Maine,PO,Portugal,NonPeak,$24.38,$31.45
US11,Maine,PO,Portugal,Peak,$28.77,$37.11
US11,Maine,PO01,Azores,NonPeak,$16.00,$44.28
US11,Maine,PO01,Azores,Peak,$18.88,$52.25
US11,Maine,QA,Qatar,NonPeak,$27.63,$34.11
US11,Maine,QA,Qatar,Peak,$32.60,$40.25
US11,Maine,RO,Romania,NonPeak,$29.28,$31.63
US11,Maine,RO,Romania,Peak,$34.55,$37.32
US11,Maine,RQ,Puerto Rico,NonPeak,$30.90,$44.51
US11,Maine,RQ,Puerto Rico,Peak,$36.46,$52.52
US11,Maine,SA,Saudi Arabia,NonPeak,$15.28,$34.33
US11,Maine,SA,Saudi Arabia,Peak,$18.03,$40.51
US11,Maine,SN,Singapore,NonPeak,$16.05,$31.74
US11,Maine,SN,Singapore,Peak,$18.94,$37.45
US11,Maine,SP,Spain,NonPeak,$16.80,$44.62
US11,Maine,SP,Spain,Peak,$19.82,$52.65
US11,Maine,TU,Turkey,NonPeak,$17.57,$34.45
