origin_intl_price_area_id,origin_intl_price_area,destination_domestic_price_area_area,destination_domestic_price_area,season,hhg_shipping_linehaul_price,ub_price
AR,Argentina,US11,Maine,NonPeak,$15.28,$43.94
AR,Argentina,US11,Maine,Peak,$18.03,$51.85
AR,Argentina,US12,New Hampshire,NonPeak,$16.05,$33.70
AR,Argentina,US12,New Hampshire,Peak,$18.94,$39.77
AR,Argentina,US13,Vermont,NonPeak,$16.80,$31.29
AR,Argentina,US13,Vermont,Peak,$19.82,$36.92
AR,Argentina,US14,Massachusetts,NonPeak,$17.57,$44.05
AR,Argentina,US14,Massachusetts,Peak,$20.73,$51.98
AR,Argentina,US15,Rhode Island,NonPeak,$18.33,$33.75
AR,Argentina,US15,Rhode Island,Peak,$21.63,$39.82
AR,Argentina,US16,Connecticut,NonPeak,$24.38,$31.40
AR,Argentina,US16,Connecticut,Peak,$28.77,$37.05
AR,Argentina,US17,New York,NonPeak,$16.00,$44.17
AR,Argentina,US17,New York,Peak,$18.88,$52.12
AR,Argentina,US19,New Jersey,NonPeak,$27.63,$33.98
AR,Argentina,US19,New Jersey,Peak,$32.60,$40.10
AR,Argentina,US20,Pennsylvania,NonPeak,$29.28,$31.45
AR,Argentina,US20,Pennsylvania,Peak,$34.55,$37.11
AR,Argentina,US22,Delaware,NonPeak,$30.90,$44.28
AR,Argentina,US22,Delaware,Peak,$36.46,$52.25
AR,Argentina,US23,Maryland,NonPeak,$15.28,$34.11
AR,Argentina,US23,Maryland,Peak,$18.03,$40.25
AR,Argentina,US24,District Of Columbia,NonPeak,$16.05,$31.63
AR,Argentina,US24,District Of Columbia,Peak,$18.94,$37.32
AR,Argentina,US25,Virginia,NonPeak,$16.80,$44.51
AR,Argentina,US25,Virginia,Peak,$19.82,$52.52
AR,Argentina,US27,West Virginia,NonPeak,$17.57,$34.33
AR,Argentina,US27,West Virginia,Peak,$20.73,$40.51
AR,Argentina,US28,Kentucky,NonPeak,$18.33,$31.74
AR,Argentina,US28,Kentucky,Peak,$21.63,$37.45
AR,Argentina,US30,Michigan,NonPeak,$24.38,$44.62
AR,Argentina,US30,Michigan,Peak,$28.77,$52.65
AR,Argentina,US32,Wisconsin,NonPeak,$16.00,$34.45
AR,Argentina,US32,Wisconsin,Peak,$18.88,$40.65
AR,Argentina,US34,Ohio,NonPeak,$27.63,$31.91
AR,Argentina,US34,Ohio,Peak,$32.60,$37.65
AR,Argentina,US36,Indiana,NonPeak,$29.28,$44.74
AR,Argentina,US36,Indiana,Peak,$34.55,$52.79
AR,Argentina,US38,Illinois,NonPeak,$30.90,$34.56
AR,Argentina,US38,Illinois,Peak,$36.46,$40.78
AR,Argentina,US40,North Carolina,NonPeak,$15.28,$32.09
AR,Argentina,US40,North Carolina,Peak,$18.03,$37.87
AR,Argentina,US42,Tennessee,NonPeak,$16.05,$44.91
AR,Argentina,US42,Tennessee,Peak,$18.94,$52.99
AR,Argentina,US44,South Carolina,NonPeak,$16.80,$34.74
AR,Argentina,US44,South Carolina,Peak,$19.82,$40.99
AR,Argentina,US45,Georgia,NonPeak,$17.57,$32.26
AR,Argentina,US45,Georgia,Peak,$20.73,$38.07
AR,Argentina,US47,Alabama,NonPeak,$18.33,$45.09
AR,Argentina,US47,Alabama,Peak,$21.63,$53.21
AR,Argentina,US48,Mississippi,NonPeak,$24.38,$34.90
AR,Argentina,US48,Mississippi,Peak,$28.77,$41.18
AR,Argentina,US49,Florida-North,NonPeak,$16.00,$32.44
AR,Argentina,US49,Florida-North,Peak,$18.88,$38.28
AR,Argentina,US4964400,Florida-South,NonPeak,$27.63,$43.94
AR,Argentina,US4964400,Florida-South,Peak,$32.60,$51.85
AR,Argentina,US4965500,Florida Keys,NonPeak,$29.28,$33.70
AR,Argentina,US4965500,Florida Keys,Peak,$34.55,$39.77
AR,Argentina,US50,Minnesota,NonPeak,$30.90,$31.29
AR,Argentina,US50,Minnesota,Peak,$36.46,$36.92
AR,Argentina,US51,North Dakota,NonPeak,$15.28,$44.05
AR,Argentina,US51,North Dakota,Peak,$18.03,$51.98
