rate_area_code,rate_area_name,hhg_origin_pack_price,hhg_destination_unpack_price,ub_origin_pack_price,ub_destination_unpack_price,origin_destination_sit_first_day_warehouse,origin_destination_sit_addl_days,sit_lte_50_miles,sit_gt_50_miles,season
AR,Argentina,$61.05,$7.52,$57.76,$7.24,$5.99,$0.20,$145.31,$217.96,NonPeak
AR,Argentina,$71.43,$9.15,$67.58,$8.47,$7.01,$0.23,$170.01,$255.01,Peak
AS11,New South Wales/Australian Capital Territory,$63.33,$7.52,$61.05,$7.24,$3.42,$0.10,$156.26,$234.40,NonPeak
AS11,New South Wales/Australian Capital Territory,$74.10,$9.15,$71.43,$8.47,$4.00,$0.12,$182.82,$274.25,Peak
AS21,Northern Territory,$65.58,$7.52,$63.33,$7.24,$5.89,$0.10,$164.17,$246.25,NonPeak
AS21,Northern Territory,$76.73,$9.15,$74.10,$8.47,$6.89,$0.12,$192.08,$288.11,Peak
BA,Bahrain,$63.88,$7.52,$65.58,$7.24,$5.29,$0.15,$172.00,$258.00,NonPeak
BA,Bahrain,$74.74,$9.15,$76.73,$8.47,$6.19,$0.18,$201.24,$301.86,Peak
BE,Belgium,$67.48,$7.52,$63.88,$7.24,$4.78,$0.13,$145.31,$217.96,NonPeak
BE,Belgium,$78.95,$9.15,$74.74,$8.47,$5.59,$0.15,$170.01,$255.01,Peak
BL,Bolivia,$70.01,$7.52,$67.48,$7.24,$3.35,$0.07,$156.26,$234.40,NonPeak
BL,Bolivia,$81.91,$9.15,$78.95,$8.47,$3.92,$0.08,$182.82,$274.25,Peak
BR,Brazil - Brazilia,$72.50,$7.52,$70.01,$7.24,$3.39,$0.09,$164.17,$246.25,NonPeak
BR,Brazil - Brazilia,$84.82,$9.15,$81.91,$8.47,$3.97,$0.11,$192.08,$288.11,Peak
CA10,Ontario,$69.97,$7.52,$72.50,$7.24,$7.03,$0.20,$172.00,$258.00,NonPeak
CA10,Ontario,$81.86,$9.15,$84.82,$8.47,$8.23,$0.23,$201.24,$301.86,Peak
CA20,Quebec,$73.95,$7.52,$69.97,$7.24,$3.32,$0.10,$145.31,$217.96,NonPeak
CA20,Quebec,$86.52,$9.15,$81.86,$8.47,$3.88,$0.12,$170.01,$255.01,Peak
CA30,Manitoba,$76.66,$7.52,$73.95,$7.24,$4.33,$0.12,$156.26,$234.40,NonPeak
CA30,Manitoba,$89.69,$9.15,$86.52,$8.47,$5.07,$0.14,$182.82,$274.25,Peak
CI,Chile,$79.40,$7.52,$76.66,$7.24,$7.05,$0.21,$164.17,$246.25,NonPeak
CI,Chile,$92.90,$9.15,$89.69,$8.47,$8.25,$0.25,$192.08,$288.11,Peak
CO,Colombia,$76.04,$7.52,$79.40,$7.24,$5.05,$0.14,$172.00,$258.00,NonPeak
CO,Colombia,$88.97,$9.15,$92.90,$8.47,$5.91,$0.16,$201.24,$301.86,Peak
CS,Costa Rica,$80.37,$7.52,$76.04,$7.24,$4.38,$0.12,$145.31,$217.96,NonPeak
CS,Costa Rica,$94.03,$9.15,$88.97,$8.47,$5.12,$0.14,$170.01,$255.01,Peak
EC,Ecuador,$83.34,$7.52,$80.37,$7.24,$5.39,$0.18,$156.26,$234.40,NonPeak
EC,Ecuador,$97.51,$9.15,$94.03,$8.47,$6.31,$0.21,$182.82,$274.25,Peak
ES,El Salvador,$86.31,$7.52,$83.34,$7.24,$5.17,$0.15,$164.17,$246.25,NonPeak
ES,El Salvador,$100.98,$9.15,$97.51,$8.47,$6.05,$0.18,$192.08,$288.11,Peak
GE,Germany,$57.76,$7.52,$86.31,$7.24,$4.85,$0.16,$172.00,$258.00,NonPeak
GE,Germany,$67.58,$9.15,$100.98,$8.47,$5.67,$0.19,$201.24,$301.86,Peak
GQ,Guam,$61.05,$7.52,$57.76,$7.24,$4.11,$0.14,$145.31,$217.96,NonPeak
GQ,Guam,$71.43,$9.15,$67.58,$8.47,$4.81,$0.16,$170.01,$255.01,Peak
GR,Greece,$63.33,$7.52,$61.05,$7.24,$5.56,$0.13,$156.26,$234.40,NonPeak
GR,Greece,$74.10,$9.15,$71.43,$8.47,$6.51,$0.15,$182.82,$274.25,Peak
GR29,Crete,$65.58,$7.52,$63.33,$7.24,$6.07,$0.14,$164.17,$246.25,NonPeak
GR29,Crete,$76.73,$9.15,$74.10,$8.47,$7.10,$0.16,$192.08,$288.11,Peak
GT,Guatemala,$63.88,$7.52,$65.58,$7.24,$5.74,$0.15,$172.00,$258.00,NonPeak
GT,Guatemala,$74.74,$9.15,$76.73,$8.47,$6.72,$0.18,$201.24,$301.86,Peak
HO,Honduras,$67.48,$7.52,$63.88,$7.24,$5.67,$0.19,$145.31,$217.96,NonPeak
HO,Honduras,$78.95,$9.15,$74.74,$8.47,$6.63,$0.22,$170.01,$255.01,Peak
HU,Hungary,$70.01,$7.52,$67.48,$7.24,$2.99,$0.08,$156.26,$234.40,NonPeak
HU,Hungary,$81.91,$9.15,$78.95,$8.47,$3.50,$0.09,$182.82,$274.25,Peak
IT,Italy,$72.50,$7.52,$70.01,$7.24,$3.36,$0.08,$164.17,$246.25,NonPeak
IT,Italy,$84.82,$9.15,$81.91,$8.47,$3.93,$0.09,$192.08,$288.11,Peak
IT10,Sicily,$69.97,$7.52,$72.50,$7.24,$2.65,$0.11,$172.00,$258.00,NonPeak
IT10,Sicily,$81.86,$9.15,$84.82,$8.47,$3.10,$0.13,$201.24,$301.86,Peak
JA01,Japan-Central,$73.95,$7.52,$69.97,$7.24,$3.51,$0.16,$145.31,$217.96,NonPeak
JA01,Japan-Central,$86.52,$9.15,$81.86,$8.47,$4.11,$0.19,$170.01,$255.01,Peak
JA02,Japan-South (Excludes Hokkaido),$76.66,$7.52,$73.95,$7.24,$5.76,$0.23,$156.26,$234.40,NonPeak
JA02,Japan-South (Excludes Hokkaido),$89.69,$9.15,$86.52,$8.47,$6.74,$0.27,$182.82,$274.25,Peak
JA03,Japan-North,$79.40,$7.52,$76.66,$7.24,$5.15,$0.26,$164.17,$246.25,NonPeak
JA03,Japan-North,$92.90,$9.15,$89.69,$8.47,$6.03,$0.30,$192.08,$288.11,Peak
JA96,Okinawa,$76.04,$7.52,$79.40,$7.24,$6.22,$0.33,$145.31,$258.00,NonPeak
JA96,Okinawa,$88.97,$9.15,$92.90,$8.47,$7.28,$0.39,$170.01,$301.86,Peak
KS,"Korea, Republic Of",$80.37,$7.52,$76.04,$7.24,$6.07,$0.17,$156.26,$217.96,NonPeak
KS,"Korea, Republic Of",$94.03,$9.15,$88.97,$8.47,$7.10,$0.20,$182.82,$255.01,Peak
