origin_id,origin_area,destination_id,destination_area,move_type,season,hhg_price,ub_price
NSRA1,Canada West,NSRA1,Canada West,NSRA to NSRA,NonPeak,$15.28,$16.89
NSRA1,Canada West,NSRA1,Canada West,NSRA to NSRA,Peak,$18.03,$19.93
NSRA1,Canada West,NSRA2,Canada Central,NSRA to NSRA,NonPeak,$16.05,$11.66
NSRA1,Canada West,NSRA2,Canada Central,NSRA to NSRA,Peak,$18.94,$13.76
NSRA1,Canada West,NSRA3,Canada East,NSRA to NSRA,NonPeak,$16.80,$10.16
NSRA1,Canada West,NSRA3,Canada East,NSRA to NSRA,Peak,$19.82,$11.99
NSRA1,Canada West,NSRA4,Mexico & Central America,NSRA to NSRA,NonPeak,$17.57,$16.98
NSRA1,Canada West,NSRA4,Mexico & Central America,NSRA to NSRA,Peak,$20.73,$20.04
NSRA1,Canada West,NSRA5,Caribbean Islands,NSRA to NSRA,NonPeak,$18.33,$11.75
NSRA1,Canada West,NSRA5,Caribbean Islands,NSRA to NSRA,Peak,$21.63,$13.86
NSRA1,Canada West,NSRA6,South America,NSRA to NSRA,NonPeak,$24.38,$10.25
NSRA1,Canada West,NSRA6,South America,NSRA to NSRA,Peak,$28.77,$12.09
NSRA1,Canada West,NSRA7,Europe,NSRA to NSRA,NonPeak,$16.00,$17.11
NSRA1,Canada West,NSRA7,Europe,NSRA to NSRA,Peak,$18.88,$20.19
NSRA1,Canada West,NSRA8,Africa - North,NSRA to NSRA,NonPeak,$27.63,$11.86
NSRA1,Canada West,NSRA8,Africa - North,NSRA to NSRA,Peak,$32.60,$13.99
NSRA1,Canada West,NSRA9,Africa - South,NSRA to NSRA,NonPeak,$29.28,$10.37
NSRA1,Canada West,NSRA9,Africa - South,NSRA to NSRA,Peak,$34.55,$12.24
NSRA1,Canada West,NSRA10,Middle East,NSRA to NSRA,NonPeak,$30.90,$17.17
NSRA1,Canada West,NSRA10,Middle East,NSRA to NSRA,Peak,$36.46,$20.26
NSRA1,Canada West,NSRA11,Asia,NSRA to NSRA,NonPeak,$10.35,$10.50
NSRA1,Canada West,NSRA11,Asia,NSRA to NSRA,Peak,$12.21,$12.39
NSRA1,Canada West,NSRA12,Asia - South,NSRA to NSRA,NonPeak,$10.83,$17.59
NSRA1,Canada West,NSRA12,Asia - South,NSRA to NSRA,Peak,$12.78,$20.76
NSRA1,Canada West,NSRA13,Pacific Islands,NSRA to NSRA,NonPeak,$11.35,$12.03
NSRA1,Canada West,NSRA13,Pacific Islands,NSRA to NSRA,Peak,$13.39,$14.20
NSRA1,Canada West,NSRA14,Australia & New Zealand,NSRA to NSRA,NonPeak,$11.82,$12.66
NSRA1,Canada West,NSRA14,Australia & New Zealand,NSRA to NSRA,Peak,$13.95,$14.94
NSRA1,Canada West,NSRA15,Alaska - All other areas,NSRA to NSRA,NonPeak,$8.88,$61.92
NSRA1,Canada West,NSRA15,Alaska - All other areas,NSRA to NSRA,Peak,$10.48,$73.07
NSRA2,Canada Central,NSRA1,Canada West,NSRA to NSRA,NonPeak,$9.31,$47.93
NSRA2,Canada Central,NSRA1,Canada West,NSRA to NSRA,Peak,$10.99,$56.56
NSRA2,Canada Central,NSRA2,Canada Central,NSRA to NSRA,NonPeak,$9.77,$44.58
NSRA2,Canada Central,NSRA2,Canada Central,NSRA to NSRA,Peak,$11.53,$52.60
NSRA2,Canada Central,NSRA3,Canada East,NSRA to NSRA,NonPeak,$10.21,$61.80
NSRA2,Canada Central,NSRA3,Canada East,NSRA to NSRA,Peak,$12.05,$72.92
NSRA2,Canada Central,NSRA4,Mexico & Central America,NSRA to NSRA,NonPeak,$10.65,$47.76
NSRA2,Canada Central,NSRA4,Mexico & Central America,NSRA to NSRA,Peak,$12.57,$56.36
NSRA2,Canada Central,NSRA5,Caribbean Islands,NSRA to NSRA,NonPeak,$51.01,$44.24
NSRA2,Canada Central,NSRA5,Caribbean Islands,NSRA to NSRA,Peak,$60.19,$52.20
NSRA2,Canada Central,NSRA6,South America,NSRA to NSRA,NonPeak,$51.21,$61.92
NSRA2,Canada Central,NSRA6,South America,NSRA to NSRA,Peak,$60.43,$73.07
NSRA2,Canada Central,NSRA7,Europe,NSRA to NSRA,NonPeak,$51.55,$47.93
NSRA2,Canada Central,NSRA7,Europe,NSRA to NSRA,Peak,$60.83,$56.56
NSRA2,Canada Central,NSRA8,Africa - North,NSRA to NSRA,NonPeak,$51.72,$44.58
NSRA2,Canada Central,NSRA8,Africa - North,NSRA to NSRA,Peak,$61.03,$52.60
NSRA2,Canada Central,NSRA9,Africa - South,NSRA to NSRA,NonPeak,$51.29,$61.80
NSRA2,Canada Central,NSRA9,Africa - South,NSRA to NSRA,Peak,$60.52,$72.92
NSRA2,Canada Central,NSRA10,Middle East,NSRA to NSRA,NonPeak,$47.93,$47.76
NSRA2,Canada Central,NSRA10,Middle East,NSRA to NSRA,Peak,$56.56,$56.36
NSRA2,Canada Central,NSRA11,Asia,NSRA to NSRA,NonPeak,$47.42,$44.24
NSRA2,Canada Central,NSRA11,Asia,NSRA to NSRA,Peak,$55.96,$52.20
NSRA2,Canada Central,NSRA12,Asia - South,NSRA to NSRA,NonPeak,$48.21,$61.92
NSRA2,Canada Central,NSRA12,Asia - South,NSRA to NSRA,Peak,$56.89,$73.07
NSRA2,Canada Central,NSRA13,Pacific Islands,NSRA to NSRA,NonPeak,$48.49,$47.93
NSRA2,Canada Central,NSRA13,Pacific Islands,NSRA to NSRA,Peak,$57.22,$56.56
NSRA2,Canada Central,NSRA14,Australia & New Zealand,NSRA to NSRA,NonPeak,$48.72,$44.58
NSRA2,Canada Central,NSRA14,Australia & New Zealand,NSRA to NSRA,Peak,$57.49,$52.60
NSRA2,Canada Central,NSRA15,Alaska - All other areas,NSRA to NSRA,NonPeak,$71.44,$43.94
NSRA2,Canada Central,NSRA15,Alaska - All other areas,NSRA to NSRA,Peak,$84.30,$51.85
NSRA3,Canada East,NSRA1,Canada West,NSRA to NSRA,NonPeak,$71.61,$33.70
NSRA3,Canada East,NSRA1,Canada West,NSRA to NSRA,Peak,$84.50,$39.77
NSRA3,Canada East,NSRA2,Canada Central,NSRA to NSRA,NonPeak,$71.89,$31.29
NSRA3,Canada East,NSRA2,Canada Central,NSRA to NSRA,Peak,$84.83,$36.92
NSRA3,Canada East,NSRA3,Canada East,NSRA to NSRA,NonPeak,$72.68,$44.05
NSRA3,Canada East,NSRA3,Canada East,NSRA to NSRA,Peak,$85.76,$51.98
NSRA3,Canada East,NSRA4,Mexico & Central America,NSRA to NSRA,NonPeak,$15.28,$33.75
NSRA3,Canada East,NSRA4,Mexico & Central America,NSRA to NSRA,Peak,$18.03,$39.82
NSRA3,Canada East,NSRA5,Caribbean Islands,NSRA to NSRA,NonPeak,$16.05,$31.40
NSRA3,Canada East,NSRA5,Caribbean Islands,NSRA to NSRA,Peak,$18.94,$37.05
NSRA3,Canada East,NSRA6,South America,NSRA to NSRA,NonPeak,$16.80,$44.17
NSRA3,Canada East,NSRA6,South America,NSRA to NSRA,Peak,$19.82,$52.12
NSRA3,Canada East,NSRA7,Europe,NSRA to NSRA,NonPeak,$17.57,$16.89
NSRA3,Canada East,NSRA7,Europe,NSRA to NSRA,Peak,$20.73,$19.93
NSRA3,Canada East,NSRA8,Africa - North,NSRA to NSRA,NonPeak,$18.33,$11.66
NSRA3,Canada East,NSRA8,Africa - North,NSRA to NSRA,Peak,$21.63,$13.76
NSRA3,Canada East,NSRA9,Africa - South,NSRA to NSRA,NonPeak,$24.38,$10.16
NSRA3,Canada East,NSRA9,Africa - South,NSRA to NSRA,Peak,$28.77,$11.99
NSRA3,Canada East,NSRA10,Middle East,NSRA to NSRA,NonPeak,$16.00,$16.98
NSRA3,Canada East,NSRA10,Middle East,NSRA to NSRA,Peak,$18.88,$20.04
NSRA3,Canada East,NSRA11,Asia,NSRA to NSRA,NonPeak,$27.63,$11.75
NSRA3,Canada East,NSRA11,Asia,NSRA to NSRA,Peak,$32.60,$13.86
NSRA3,Canada East,NSRA12,Asia - South,NSRA to NSRA,NonPeak,$29.28,$10.25
NSRA3,Canada East,NSRA12,Asia - South,NSRA to NSRA,Peak,$34.55,$12.09
NSRA3,Canada East,NSRA13,Pacific Islands,NSRA to NSRA,NonPeak,$30.90,$17.11
NSRA3,Canada East,NSRA13,Pacific Islands,NSRA to NSRA,Peak,$36.46,$20.19
NSRA3,Canada East,NSRA14,Australia & New Zealand,NSRA to NSRA,NonPeak,$10.35,$11.86
NSRA3,Canada East,NSRA14,Australia & New Zealand,NSRA to NSRA,Peak,$12.21,$13.99
NSRA3,Canada East,NSRA15,Alaska - All other areas,NSRA to NSRA,NonPeak,$10.83,$10.37
NSRA3,Canada East,NSRA15,Alaska - All other areas,NSRA to NSRA,Peak,$12.78,$12.24
NSRA4,Mexico & Central America,NSRA1,Canada West,NSRA to NSRA,NonPeak,$11.35,$17.17
NSRA4,Mexico & Central America,NSRA1,Canada West,NSRA to NSRA,Peak,$13.39,$20.26
NSRA4,Mexico & Central America,NSRA2,Canada Central,NSRA to NSRA,NonPeak,$11.82,$10.50
NSRA4,Mexico & Central America,NSRA2,Canada Central,NSRA to NSRA,Peak,$13.95,$12.39
NSRA4,Mexico & Central America,NSRA3,Canada East,NSRA to NSRA,NonPeak,$8.88,$17.59
NSRA4,Mexico & Central America,NSRA3,Canada East,NSRA to NSRA,Peak,$10.48,$20.76
NSRA4,Mexico & Central America,NSRA4,Mexico & Central America,NSRA to NSRA,NonPeak,$9.31,$12.03
NSRA4,Mexico & Central America,NSRA4,Mexico & Central America,NSRA to NSRA,Peak,$10.99,$14.20
NSRA4,Mexico & Central America,NSRA5,Caribbean Islands,NSRA to NSRA,NonPeak,$9.77,$12.66
NSRA4,Mexico & Central America,NSRA5,Caribbean Islands,NSRA to NSRA,Peak,$11.53,$14.94
NSRA4,Mexico & Central America,NSRA6,South America,NSRA to NSRA,NonPeak,$10.21,$61.92
NSRA4,Mexico & Central America,NSRA6,South America,NSRA to NSRA,Peak,$12.05,$73.07
NSRA4,Mexico & Central America,NSRA7,Europe,NSRA to NSRA,NonPeak,$10.65,$47.93
NSRA4,Mexico & Central America,NSRA7,Europe,NSRA to NSRA,Peak,$12.57,$56.56
NSRA4,Mexico & Central America,NSRA8,Africa - North,NSRA to NSRA,NonPeak,$51.01,$44.58
NSRA4,Mexico & Central America,NSRA8,Africa - North,NSRA to NSRA,Peak,$60.19,$52.60
NSRA4,Mexico & Central America,NSRA9,Africa - South,NSRA to NSRA,NonPeak,$51.21,$61.80
NSRA4,Mexico & Central America,NSRA9,Africa - South,NSRA to NSRA,Peak,$60.43,$72.92
NSRA4,Mexico & Central America,NSRA10,Middle East,NSRA to NSRA,NonPeak,$51.55,$47.76
NSRA4,Mexico & Central America,NSRA10,Middle East,NSRA to NSRA,Peak,$60.83,$56.36
NSRA4,Mexico & Central America,NSRA11,Asia,NSRA to NSRA,NonPeak,$51.72,$44.24
NSRA4,Mexico & Central America,NSRA11,Asia,NSRA to NSRA,Peak,$61.03,$52.20
NSRA4,Mexico & Central America,NSRA12,Asia - South,NSRA to NSRA,NonPeak,$51.29,$61.92
NSRA4,Mexico & Central America,NSRA12,Asia - South,NSRA to NSRA,Peak,$60.52,$73.07
NSRA4,Mexico & Central America,NSRA13,Pacific Islands,NSRA to NSRA,NonPeak,$47.93,$47.93
NSRA4,Mexico & Central America,NSRA13,Pacific Islands,NSRA to NSRA,Peak,$56.56,$56.56
NSRA4,Mexico & Central America,NSRA14,Australia & New Zealand,NSRA to NSRA,NonPeak,$47.42,$44.58
NSRA4,Mexico & Central America,NSRA14,Australia & New Zealand,NSRA to NSRA,Peak,$55.96,$52.60
NSRA4,Mexico & Central America,NSRA15,Alaska - All other areas,NSRA to NSRA,NonPeak,$48.21,$61.80
NSRA4,Mexico & Central America,NSRA15,Alaska - All other areas,NSRA to NSRA,Peak,$56.89,$72.92
NSRA5,Caribbean Islands,NSRA1,Canada West,NSRA to NSRA,NonPeak,$48.49,$47.76
NSRA5,Caribbean Islands,NSRA1,Canada West,NSRA to NSRA,Peak,$57.22,$56.36
NSRA5,Caribbean Islands,NSRA2,Canada Central,NSRA to NSRA,NonPeak,$48.72,$44.24
NSRA5,Caribbean Islands,NSRA2,Canada Central,NSRA to NSRA,Peak,$57.49,$52.20
NSRA5,Caribbean Islands,NSRA3,Canada East,NSRA to NSRA,NonPeak,$71.44,$61.92
NSRA5,Caribbean Islands,NSRA3,Canada East,NSRA to NSRA,Peak,$84.30,$73.07
NSRA5,Caribbean Islands,NSRA4,Mexico & Central America,NSRA to NSRA,NonPeak,$71.61,$47.93
NSRA5,Caribbean Islands,NSRA4,Mexico & Central America,NSRA to NSRA,Peak,$84.50,$56.56
NSRA5,Caribbean Islands,NSRA5,Caribbean Islands,NSRA to NSRA,NonPeak,$71.89,$44.58
NSRA5,Caribbean Islands,NSRA5,Caribbean Islands,NSRA to NSRA,Peak,$84.83,$52.60
NSRA5,Caribbean Islands,NSRA6,South America,NSRA to NSRA,NonPeak,$72.68,$43.94
NSRA5,Caribbean Islands,NSRA6,South America,NSRA to NSRA,Peak,$85.76,$51.85
NSRA5,Caribbean Islands,NSRA7,Europe,NSRA to NSRA,NonPeak,$15.28,$33.70
NSRA5,Caribbean Islands,NSRA7,Europe,NSRA to NSRA,Peak,$18.03,$39.77
NSRA5,Caribbean Islands,NSRA8,Africa - North,NSRA to NSRA,NonPeak,$16.05,$31.29
NSRA5,Caribbean Islands,NSRA8,Africa - North,NSRA to NSRA,Peak,$18.94,$36.92
NSRA5,Caribbean Islands,NSRA9,Africa - South,NSRA to NSRA,NonPeak,$16.80,$44.05
NSRA5,Caribbean Islands,NSRA9,Africa - South,NSRA to NSRA,Peak,$19.82,$51.98
NSRA5,Caribbean Islands,NSRA10,Middle East,NSRA to NSRA,NonPeak,$17.57,$33.75
NSRA5,Caribbean Islands,NSRA10,Middle East,NSRA to NSRA,Peak,$20.73,$39.82
NSRA5,Caribbean Islands,NSRA11,Asia,NSRA to NSRA,NonPeak,$18.33,$31.40
NSRA5,Caribbean Islands,NSRA11,Asia,NSRA to NSRA,Peak,$21.63,$37.05
NSRA5,Caribbean Islands,NSRA12,Asia - South,NSRA to NSRA,NonPeak,$24.38,$44.17
NSRA5,Caribbean Islands,NSRA12,Asia - South,NSRA to NSRA,Peak,$28.77,$52.12
NSRA5,Caribbean Islands,NSRA13,Pacific Islands,NSRA to NSRA,NonPeak,$16.00,$16.89
NSRA5,Caribbean Islands,NSRA13,Pacific Islands,NSRA to NSRA,Peak,$18.88,$19.93
NSRA5,Caribbean Islands,NSRA14,Australia & New Zealand,NSRA to NSRA,NonPeak,$27.63,$11.66
NSRA5,Caribbean Islands,NSRA14,Australia & New Zealand,NSRA to NSRA,Peak,$32.60,$13.76
NSRA5,Caribbean Islands,NSRA15,Alaska - All other areas,NSRA to NSRA,NonPeak,$29.28,$10.16
NSRA5,Caribbean Islands,NSRA15,Alaska - All other areas,NSRA to NSRA,Peak,$34.55,$11.99
NSRA6,South America,NSRA1,Canada West,NSRA to NSRA,NonPeak,$30.90,$16.98
NSRA6,South America,NSRA1,Canada West,NSRA to NSRA,Peak,$36.46,$20.04
NSRA6,South America,NSRA2,Canada Central,NSRA to NSRA,NonPeak,$10.35,$11.75
NSRA6,South America,NSRA2,Canada Central,NSRA to NSRA,Peak,$12.21,$13.86
NSRA6,South America,NSRA3,Canada East,NSRA to NSRA,NonPeak,$10.83,$10.25
NSRA6,South America,NSRA3,Canada East,NSRA to NSRA,Peak,$12.78,$12.09
NSRA6,South America,NSRA4,Mexico & Central America,NSRA to NSRA,NonPeak,$11.35,$17.11
NSRA6,South America,NSRA4,Mexico & Central America,NSRA to NSRA,Peak,$13.39,$20.19
NSRA6,South America,NSRA5,Caribbean Islands,NSRA to NSRA,NonPeak,$11.82,$11.86
NSRA6,South America,NSRA5,Caribbean Islands,NSRA to NSRA,Peak,$13.95,$13.99
NSRA6,South America,NSRA6,South America,NSRA to NSRA,NonPeak,$8.88,$10.37
NSRA6,South America,NSRA6,South America,NSRA to NSRA,Peak,$10.48,$12.24
NSRA6,South America,NSRA7,Europe,NSRA to NSRA,NonPeak,$9.31,$17.17
NSRA6,South America,NSRA7,Europe,NSRA to NSRA,Peak,$10.99,$20.26
NSRA6,South America,NSRA8,Africa - North,NSRA to NSRA,NonPeak,$9.77,$10.50
NSRA6,South America,NSRA8,Africa - North,NSRA to NSRA,Peak,$11.53,$12.39
NSRA6,South America,NSRA9,Africa - South,NSRA to NSRA,NonPeak,$10.21,$17.59
NSRA6,South America,NSRA9,Africa - South,NSRA to NSRA,Peak,$12.05,$20.76
NSRA6,South America,NSRA10,Middle East,NSRA to NSRA,NonPeak,$10.65,$12.03
NSRA6,South America,NSRA10,Middle East,NSRA to NSRA,Peak,$12.57,$14.20
NSRA6,South America,NSRA11,Asia,NSRA to NSRA,NonPeak,$51.01,$12.66
NSRA6,South America,NSRA11,Asia,NSRA to NSRA,Peak,$60.19,$14.94
NSRA6,South America,NSRA12,Asia - South,NSRA to NSRA,NonPeak,$51.21,$61.92
NSRA6,South America,NSRA12,Asia - South,NSRA to NSRA,Peak,$60.43,$73.07
NSRA6,South America,NSRA13,Pacific Islands,NSRA to NSRA,NonPeak,$51.55,$47.93
NSRA6,South America,NSRA13,Pacific Islands,NSRA to NSRA,Peak,$60.83,$56.56
NSRA6,South America,NSRA14,Australia & New Zealand,NSRA to NSRA,NonPeak,$51.72,$44.58
