service_area_number,origin_service_area,services_schedule,season,weight_lower,weight_upper,miles_lower,miles_upper,escalation_number,rate
4.0,"Birmingham, AL",2,NonPeak,500,4999,0,250,0,$2.477
4.0,"Birmingham, AL",2,NonPeak,500,4999,251,500,0,$2.727
4.0,"Birmingham, AL",2,NonPeak,500,4999,501,1000,0,$3.228
4.0,"Birmingham, AL",2,NonPeak,500,4999,1001,1500,0,$3.728
4.0,"Birmingham, AL",2,NonPeak,500,4999,1501,2000,0,$4.228
4.0,"Birmingham, AL",2,NonPeak,500,4999,2001,2500,0,$4.728
4.0,"Birmingham, AL",2,NonPeak,500,4999,2501,3000,0,$5.228
4.0,"Birmingham, AL",2,NonPeak,500,4999,3001,3500,0,$5.728
4.0,"Birmingham, AL",2,NonPeak,500,4999,3501,4000,0,$6.228
4.0,"Birmingham, AL",2,NonPeak,500,4999,4001,999999,0,$0.000
4.0,"Birmingham, AL",2,NonPeak,5000,9999,0,250,0,$4.705
4.0,"Birmingham, AL",2,NonPeak,5000,9999,251,500,0,$4.955
4.0,"Birmingham, AL",2,NonPeak,5000,9999,501,1000,0,$5.455
4.0,"Birmingham, AL",2,NonPeak,5000,9999,1001,1500,0,$5.955
4.0,"Birmingham, AL",2,NonPeak,5000,9999,1501,2000,0,$6.455
4.0,"Birmingham, AL",2,NonPeak,5000,9999,2001,2500,0,$6.956
4.0,"Birmingham, AL",2,NonPeak,5000,9999,2501,3000,0,$7.456
4.0,"Birmingham, AL",2,NonPeak,5000,9999,3001,3500,0,$7.956
4.0,"Birmingham, AL",2,NonPeak,5000,9999,3501,4000,0,$8.456
4.0,"Birmingham, AL",2,NonPeak,5000,9999,4001,999999,0,$29.360
4.0,"Birmingham, AL",2,NonPeak,10000,999999,0,250,0,$11.389
4.0,"Birmingham, AL",2,NonPeak,10000,999999,251,500,0,$11.639
4.0,"Birmingham, AL",2,NonPeak,10000,999999,501,1000,0,$12.139
4.0,"Birmingham, AL",2,NonPeak,10000,999999,1001,1500,0,$12.639
4.0,"Birmingham, AL",2,NonPeak,10000,999999,1501,2000,0,$13.139
4.0,"Birmingham, AL",2,NonPeak,10000,999999,2001,2500,0,$13.639
4.0,"Birmingham, AL",2,NonPeak,10000,999999,2501,3000,0,$14.139
4.0,"Birmingham, AL",2,NonPeak,10000,999999,3001,3500,0,$14.640
4.0,"Birmingham, AL",2,NonPeak,10000,999999,3501,4000,0,$15.140
4.0,"Birmingham, AL",2,NonPeak,10000,999999,4001,999999,0,$36.044
4.0,"Birmingham, AL",2,Peak,500,4999,0,250,0,$2.583
4.0,"Birmingham, AL",2,Peak,500,4999,251,500,0,$2.843
4.0,"Birmingham, AL",2,Peak,500,4999,501,1000,0,$3.365
4.0,"Birmingham, AL",2,Peak,500,4999,1001,1500,0,$3.886
4.0,"Birmingham, AL",2,Peak,500,4999,1501,2000,0,$4.408
4.0,"Birmingham, AL",2,Peak,500,4999,2001,2500,0,$4.929
4.0,"Birmingham, AL",2,Peak,500,4999,2501,3000,0,$5.450
4.0,"Birmingham, AL",2,Peak,500,4999,3001,3500,0,$5.972
4.0,"Birmingham, AL",2,Peak,500,4999,3501,4000,0,$6.493
4.0,"Birmingham, AL",2,Peak,500,4999,4001,999999,0,$28.287
4.0,"Birmingham, AL",2,Peak,5000,9999,0,250,0,$4.905
4.0,"Birmingham, AL",2,Peak,5000,9999,251,500,0,$5.166
4.0,"Birmingham, AL",2,Peak,5000,9999,501,1000,0,$5.687
4.0,"Birmingham, AL",2,Peak,5000,9999,1001,1500,0,$6.209
